frame_number,x_center,y_center,x_size,y_size
347,524.0,190.5,92,91
348,521.0,198.5,92,93
349,522.5,211.5,91,93
350,521.0,220.5,90,91
351,519.5,248.5,91,89
352,517.0,272.0,90,94
353,513.0,295.5,90,101
354,510.0,325.0,90,106
355,506.5,358.0,93,102
356,507.0,397.0,92,102
357,509.5,432.5,87,113
358,509.5,474.5,87,123
359,510.0,527.0,86,130
360,521.5,532.5,87,139
361,523.0,490.0,92,128
362,534.0,455.5,90,125
363,539.0,420.5,90,125
364,542.0,377.5,88,123
365,545.5,351.5,91,113
366,548.0,318.5,90,109
367,550.5,300.5,91,103
368,555.0,292.5,90,99
369,558.5,274.0,91,94
370,563.0,267.0,92,92
371,569.5,265.0,93,90
372,578.0,267.5,92,91
373,580.5,272.5,91,91
374,580.5,277.5,91,89
375,581.0,283.5,90,87
376,584.0,299.0,88,88
377,582.0,310.5,88,89
378,578.5,331.0,87,88
379,577.5,344.5,87,87
380,587.5,366.5,87,87
381,587.0,388.5,84,99
382,583.5,423.0,83,108
383,575.0,463.0,82,112
384,575.5,499.5,85,105
385,578.5,511.0,85,106
386,591.5,450.0,83,100
387,592.5,420.0,79,108
388,598.5,381.0,79,108
389,603.5,354.0,83,100
390,607.0,319.0,82,98
391,609.5,303.5,83,93
392,610.5,278.5,81,91
393,616.5,271.0,79,92
394,618.5,245.5,79,91
395,620.5,235.5,81,89
396,625.5,228.5,81,87
397,632.0,219.0,80,84
398,638.5,213.0,81,80
399,647.0,211.5,82,79
400,649.0,217.5,80,79
401,654.0,223.5,78,79
402,653.5,233.5,77,79
403,657.5,243.0,77,78
404,661.0,251.0,76,78
405,661.5,263.5,75,83
406,659.5,284.5,75,87
407,659.5,307.0,73,88
408,637.5,338.5,75,89
409,626.0,350.5,74,89
410,619.5,387.5,75,83
411,622.5,412.0,71,90
412,631.5,448.5,71,97
413,636.5,468.0,73,92
414,650.5,432.0,69,100
415,659.5,357.0,71,94
416,663.0,315.5,70,93
417,658.5,291.5,71,85
418,657.5,271.5,71,87
419,655.0,242.0,72,86
420,651.5,227.0,71,90
421,645.5,203.5,73,89
